username,gender,zip,highest_education
rNyRvrLrzna822rVg0uVwuBleBbCuYVA,female,31027,no highschool
18YpxzFvzbVIrZMXPNl35EHbUS5DPGls,,7524,some college
Y3GsHv1t2an649bMll1LdxvN2SIICjxG,male,1902,some college
UvNBhfIJAJsj5pOmNRHiOvSPNRKzmqY7,female,11239,some college
Egxu6ODKbfhXn1kTLjytmYXRBltm3lLl,male,95129,no highschool
IaUWVRfOxHQ5rvn7nGOPvWIJXDxcLWVm,missing,20708,some college
VHVN99Linrzon76rooArnyjXo9lEBEsE,,1982,some college
aR6DmUHNNFHdBeCRliKxXxLUoIhOd6AH,other,53001,college
8phz9AYz0BvRx5nlymKhm4uf6SL2rKlM,missing,7920,missing
kyUPY0MEVeZNvkmrQxOn0CHNXLZiD03b,male,52761,graduate
CAnNKDdlHhDJqz95kWpWwBuKgmoUwH3k,male,33144,graduate
9kl2eblW4HMzdgLgZ4F7EwEzmHBJnYFY,female,67401,some college
y9ukbIQfB4L7zn5UoeGfcZjZUqTsQsJk,,95076,some college
te6QP43AD0qdLNj13vRCBp9RhSrDLrXu,male,36360,no highschool
LNthmec9jsnkZ0vXEroET1yCfxXDtOut,female,46221,graduate
f7yMXLX5iC27qXKER195exuGtNIANEbY,other,67501,highschool
XcHsyJic7bjEdHpY0rtxqHfiOT0DqvtS,male,46310,highschool
mVKwYQ7xbFBdMprrNOmdHZBrP99j7L2P,missing,33196,highschool
qcVah5ynw4NXfoyqDcX6YjiCeNX4wb9F,,31216,some college
2oHi0xAwpU9rO0gdJkKqphbQcbEZ8anJ,male,53511,some college
HhvQOu36AUwxS3HBXRWzCwV2HEANGBv6,,46804,some college
YfgudDVIeAr4vxyA9CRnVu6z6irXBYtG,male,30188,highschool
qMRH4AMNC411dOzj4aW5r1KQliyV3Xd7,female,47201,no highschool
Fnxbq1mmmr0PMiff5b5neFikspaCBAqj,,68114,highschool
GlY3UKzcegZgdWGHLlqzHo3YkCMHtiAm,female,78201,highschool
72XZ03fUHjOaraXDeGJKwFP0e9WZkAtt,missing,28390,graduate
4xUgOttYZDhIMU6EU55Q6nEwoTfnQ8Ha,male,10977,missing
IbtW1Ut3E0HaWON87Acsn4mzRSAtrkvR,male,98144,college
bqvddEnYOiQta2786ywkxwVIKgITjGfR,,80528,highschool
2O8NAvhNUXrdmxSzn1Z4OMB7aBRiM55M,other,33040,highschool
MnoWEUApUIiecFZ2oV8tUaI69bTcuTdm,male,91604,highschool
O4X95fQpNzvt0UCyuWEl2S7R4akLhSmP,,80026,graduate
s5TGjHHvfS59WTfhcMdEdHjnfjINbNg6,missing,34667,highschool
RIF5KHeeLRLizFLRWosRqC8xVGz6vS3k,,30122,missing
YYD4zywXBvA152G89uI3geDWwah11hUG,missing,17233,college
7p1fRDsa64WMgmP5cplLqkppB8lH9K34,missing,78108,graduate
wisu77b2OWghPT42ju4QbBWizBy4Q7oQ,other,17602,highschool
4VLpBs0JRtC3jtCtCrXwNyCP5Wvc3YMd,female,48101,graduate
OYK1Qc3IyqMOr2BEiiseiqv9SVhDsGK9,,35214,highschool
GuklGBXhUb0V9kgB9z8gshNAsHwbY3tl,missing,79414,no highschool
DC7ZPAOAq4kNVVbfZX7lyJLqoL2DWXgr,male,78250,missing
SXmv5BCLsa8KcmJ2wx7Xg5CRI8Gu1aDd,missing,98023,highschool
nRHQUNRUIsIinoYx4tQlxNnAC0I3YYVk,female,15236,some college
YwX99rQNTc2iLHRhiHVPB17BMuNIXvIE,,27516,missing
aXX4RB1TVr6eTyWgopnMFWCf32w8ar0k,,60142,missing
3eli3Yu8yBYHv0w4ORauIbd8oZNSlgCD,female,80439,highschool
irsB3oA9q2Yuz0rnZheRoFNJtkEWBPEv,male,63376,highschool
ulE0koiO4CAvoDYI4vnmPQGiFiYapgna,female,49460,missing
85Nl0LFTFnIyoEzvZZlfganIQQ1pJ6Xl,,74421,missing
NzJuOfalEsOT54AavPrqSe3rsSE0cQkZ,missing,85711,highschool
OSDu5tMGaniTUgLVQTpKE1MEiHaSe3gW,male,20783,highschool
0owvhWRO0Z3tGeL4TnPCN18SAu4a9W8q,,24641,missing
mc3xuBmNMVnO8SXsjAiLzVysk6JDm6hN,,15234,highschool
KJYfioztISqc0rlzs1OTvsBZ9AjVgZzy,female,57428,highschool
gIXVETlNVuHDO2maIMewVp8dyqdg02Zn,female,48734,highschool
2IvFgMw0NfaiiFt35dmyYrQHt1TRMHZA,male,85086,college
7a7Pe4hTAMX0hOBpZyZ3xxJU46OHv2bO,,85745,highschool
d9MkkuCn04Toz7g1JpLdUJWD9xM5braA,missing,25304,highschool
Hie5jI1V7aqUGyRciLGioIx6C3WNaVxM,missing,75214,no highschool
GWkOX8xsjpWRiK779kbHgdMiGDqlW44M,female,1876,some college
kui6N1aCNXaCsOCuisWh9NWzU01ICH8U,missing,15221,no highschool
RFIYCucE5KCs9Bz4puoVDGPVmKoCQR4H,male,76034,highschool
VFgKTpoMfI4gE0ue8lx79ttwKsOcdeVf,missing,6513,some college
2PWlLnjhApzSeO1IjEVEaOZzDSoxXcJD,,11530,no highschool
TWU3dddcJ2P0CD5FadSzP9jDPV23E3zM,female,75287,graduate
vy1dKglyxyxQ9JzdCeakGLY8mXtTk0UZ,other,18052,highschool
fczke4UuC99kQHbLPBF9eDbT99FMycXd,,80439,some college
HGsJLJ6DmlHIGcY9dOCBIhUAQmsnHyuv,female,15212,graduate
E02OkTl8csuOX6zLc59X4Ccgua1zuW0b,,21078,some college
9CDwdXbz4MSRjKPawnvXk798IBOHf0Sr,,1810,college
QezWFhfUFZsbunLp8y2rompEb3OFqhtc,male,76207,some college
0dRI4vjLTkd5C7Nha6qsRatSFh4qG5VU,,28610,some college
Qs7Gy3lEvMM83esFdoZ1zZvUeRYTAxxM,female,62220,some college
w12nnjOhqk1P6fMtcSiYVLqMeJReXMU5,male,29801,some college
GAkkJ895bgW6AH52um3IyENcGiAnvW0x,male,97424,college
rMWMkKNG4j7tYlDJVbO4OFwUj6nJp9ld,female,1562,some college
xALIoNd4wR4NihYnbKEss9cwlVvX1hCX,missing,89436,missing
SBM4c6oqkV3ujwjGuRJB4zYxcQWXvYd5,missing,36340,highschool
gpIeQzWipG8QjMhsboQ9RbMizuIs8tdu,female,94080,graduate
FIl2X54wUKgCp68s999hD8mdAAx9nPSl,female,63048,some college
3BgG8HlWQ0SR0oNUBGA5GcFVqx1VBIse,male,10456,highschool
8DrwDXKGEBLVwNt7dUNV7BIWxiG8AH1C,male,55318,highschool
I21s96YHa6lqxRYzlBFusKHviHMUhnfi,female,54901,college
d0jtUezthNk5WESFEPOYNW9XjPOAqSpJ,,44253,graduate
H1BoHAC9SN7yd0eRHwqNEnDGBMnL6YqL,other,94305,highschool
sQpA2SuskRigo277vTUjZ4C84cF8DuDE,female,72762,graduate
qDTi2NN9v0CzjQiwbTeDwLTE1bt2XVmq,female,66111,highschool
KeeDfYcqqvcywIJQp57tO2GjR214ZE6C,female,32425,college
dALdfMzfktV6uHq0TdqzSFS1vTHWuBBf,male,63026,no highschool
mw7rptmXGsVABoQW8nxBDjJxGb5ESRcS,female,19604,some college
UPiDsXcPY5zqiwVyV4nBGQCzPWFgh34p,female,27606,college
MuObK1JOELtYlSEM2Bu4rBXoIp3xnR4h,male,87121,some college
IrOcAiGVTdQDv8DCBYbHCqYpDx0Kc5Zh,,30004,missing
PLZOqxfGfLJYNljF1wXTeIA0YECpo7X6,,13204,missing
HCV3sv9OySSTFmcBRlM2cNLTX3GLW9jD,missing,19123,no highschool
fhjtgu2LR6DQ0FWqUyl3qWg718eD1pm8,female,30043,missing
9nbViEBBFQxcP3oKNIiNo7tur376O3Fg,female,98406,highschool
ulHL2ILvsobDFGQ9lckrRmiijnYKCJpv,male,60804,highschool
triNnr9ykEyZ8Fk5d6fPJA7X3l5qYQCa,,53033,highschool
ae4nSawB3M11Wmq3zKGmekxyJPcADmL9,male,24202,some college
1yHoa05vununTmpElnbje4INohNT8Gj2,,37210,missing
md9uApbfR71Ix0x392hzguv1jSaouoDV,,77536,graduate
mx1PfSoMoH8OtPueZzIZvs7QcIcKSFOD,missing,90003,missing
DLDhUvvvfnnYFJuV65Zt2yaS0jPJgvzq,female,40828,highschool
6bFhE6WIluOwBMGZHafNL5xcw6P1gRpJ,female,77536,highschool
JYKYhS1ZSkLbFEiuertaVzGZ2LQ6es2l,male,80012,no highschool
o7pzdRTO1dnxuhf9kxurH0oMz67aa1kw,other,37215,college
kDehi7TtAVyNSiUVS6mqFm1s8WnjhpJb,male,60010,college
0UQZhuiUnymjN9gGHDhi5njksg7urq3M,female,28025,missing
4i0DPsIZNdbtIvilEgmoF2rEEggpdAE2,female,33313,no highschool
heWJRVg7rEQJKctb9hAqhrrVJgE71Gu9,missing,34951,graduate
H1TM0tfwQGan808kaqC5vLvGV8fCUgtO,male,75169,highschool
YnzH3R4UATVSj9AYcEdt0CLRZQi5qU89,missing,83634,some college
cXGNVbaSGbcTRRdWFoRN70Rg4SniEolO,female,37620,no highschool
xs54eE1XqJzph5DR2irUzTIQO6XZH3CE,,31903,highschool
eBx7HiN39I6iW0OqVJx0agJeS76HmI68,missing,84335,college
GgzpPw8pSU9ToulfA2PQ7B7AnCaiFe1s,,92548,some college
g3msuKosaTmbq2hxSDEg9nJNxvgfs2Qt,female,49446,highschool
MuPXROziQ4N8mQ6WZxZbKVGq926Z7wJ2,female,21217,college
Glxmm6OkKDEBHVvI7QqNEC5RvmqUE0HS,,36870,missing
4Su6EFIGqDrp32sr4PDHW05eAzKSmGQi,male,96814,college
XVUAyOFFqpp3tRexyYADNvYTdqc3gdIt,,32209,no highschool
HB5xN5WvO63fyle8L9OU8KEV5tvW4m0R,,82009,some college
FQt3KAqA1FKOL0gDG0Ei4iI0gumYXJWC,,18504,some college
lya0vKDaCGl4Tz6AyZiI0hTBpBC2JrFE,,48823,some college
JfTOfcf15FK7jTKVpQgFx9rCClmYQ1Py,,28052,some college
JhEepwEUYfKl3sSLiPi0QN1n12QyjVHH,,33168,some college
lTWQ3jSVxA1t9u9LUcL06LBfr0sWVgL6,,21771,highschool
Y6RW6wYc8V5hSWp0Xy7rjOUnyRvosFOo,missing,77082,no highschool
Cn8o2PKFGeU69v7iIZyqZclmO4UdW2xx,male,33470,graduate
imxSDm2buzZ62mNMbQHQ2TU94JYpOhZs,other,92646,graduate
aVE6FAaI67jjqObdfL3BkKQUvDsOp43M,,6716,highschool
sLpvcwbYGpDeNxr58gHOW5slIVlyYiwF,,28472,highschool
BdPEjrNeRWORvoAvmySSATaD7FpfgjJ7,female,19145,college
FIY6JNhgjxGX1Ici5YEPsYU4H15ZiBBG,,85323,no highschool
R1FqqBKIoe5gb1Zm4cRd6C2dKym4oN3J,,91739,college
aA47iNtja2lxoPqFPeHjI7xjYuTmvZjx,other,97358,missing
Qo1OAp8GglCOhKICbcJQhmG7Ih2RNYzD,,28349,highschool
hBvnEY4aNgcxVSnNQQpUhBKQZnvNH5S8,,48725,some college
ebMGCwyZ5lckjWGb6jUqOBSDpz8MjzFD,male,12533,some college
jdRb3NacTs09HtUx02IkDMGEcXu7xrBq,missing,14743,some college
zBzDYaBFtvt4WCwZho1eMI1Cls9kEuGU,male,98023,graduate
JV6YjX6RLlrNDyHgztpPJhNTvCg6Kjrr,female,63118,no highschool
X9gA2c0oAwU5YZVoqpddGgrcElrBhrKA,male,89121,missing
WcgPk0seMETQ32XVB6Y924ThrGFZxSCx,missing,33186,graduate
5CV53T145kru57HDn4DelXde0UjT6xqn,female,33813,missing
k1aUEKpKKRff5cVdz5zL1cQ28wJA7XyW,female,77077,highschool
ZyyT1eilgD9yyYGJ1LiCWlJtWL8cm41Z,other,12701,highschool
LccM189to43CAqTHtoJcJNZMwAPU5UBZ,,78666,missing
StMO7TPNG8VhatZCMlydEJQo1yyjIHXC,male,77040,some college
Sq8QJIYNaNhIlbr00qG5nsONdih7fu7A,missing,40218,some college
HUb3COZb2hqfPj4138au4wSZZK0x6I3J,female,46016,missing
hw4KblHupfI4SeNpY5xLVzEP3erUfOxe,female,40312,graduate
3EwUg208bV0DvnhKptmbGHdmCctMgvT5,,78221,highschool
A02nnfSjd2pScBgez3tHgmea59GZHEAA,,48180,highschool
PiT7Z8cRKJcxVfMXIAVbdHfU3KACkywB,missing,63857,highschool
fUMqQuy71n3a3vBlGt3GhPdNsIerKaNG,missing,44646,no highschool
4cJD7jXbaVagLoHn1fA0dFTAvkHKfY4O,female,7047,missing
mCZ2TX3ceAFzhNjzmeTbnKpLnuDGPtu2,male,85207,highschool
8JzafbS8byU6S2UgAbCtwWuNx4gr3Uhl,missing,83301,college
xHClfWXM9nXArEuSIoryEaZpIBkH25vn,,15009,college
8CaaySRSZ3gZ2vjDeM9oKcYqvdiK5jBF,female,44906,highschool
XN63dEiQWhNWbJsINnN40CVdwEcsGjr2,female,21146,highschool
8CDXxBkUqzqclsNk3s8X7Bnj6vABPwPT,female,74137,college
ygImVrRvqvz3GdfcGtYijkkTit8GFCqP,,49004,some college
o0Mkkwr1udPjQ6vXFlXh8m3dWhOBwLFm,male,15021,highschool
TnonHqPC6G7qJ5vHeDou42rbzghbN46S,male,31563,highschool
o64tMOfbeVTtfEmo24f9NpMAjUEMOiOi,male,60659,graduate
WgTHWbWSQIo3Qv8boacLqO0oVWsgdPDK,missing,30064,highschool
RosYJdZOCpfM9BJXONBJvok7ywbedA68,male,35905,no highschool
K7f4rbkZ4zpJXBwmVkXYyusOfW3d659K,,18301,highschool
SLHSkWHTfhQeFvxip9e4f2PdRlMEDJ2K,female,95758,some college
XO4GuoilrH8PNh7Tl5GUu7699O15keXV,,31064,highschool
MJalWa0fA1VHSkBfhTTbHsrhsq3lrgoO,,23513,some college
tmmvczbZLiPw6t5Ru9DTWRYnvMI3hKxN,female,54303,highschool
N65DWd4VXbO2t6eDXaBT5NY8XsdAbDdu,,78218,college
5jlZO84otZB9xpGdUF5HgmcrtViZn9QR,,93308,some college
Hiw2xEvtuQMOQzEyrbZFwayIzZ99Fecj,male,43062,some college
bGlbf8Q7bdoTaKZ7vDggyKAUiIKomstC,missing,30529,some college
xpD8zL0kPAHItDUStTwEIkWWrm8dDFmA,female,80528,missing
uFNLKo5bqJzWC9QIIX9vS1Tn11aB7Uzj,,93001,graduate
BoBgrmtQAbGEQdCkYjgMVVWzk508tw3x,missing,94010,no highschool
We39SRZvbADx3iI2t0Ljlru5DRn0MmG5,male,32907,some college
5uoh3HG1nDrMYi2dFveKtERmpEDthN7L,female,35233,no highschool
TBhSGbYkj43z5s2FElhR2mY8V29OFGOl,,80918,graduate
fC5A4Ttm4JFahNie94Nev71dPEVBIJFY,male,53209,graduate
sblSl2LJ95CeqCHwAJI2Oj6NJIdPK8i5,female,40511,highschool
JnvwoEOpAzSiUq6VkUIMVivTrsAe009S,female,30121,college
SCM4HU9JBhfiWakrNzVUunvWBGPhnQ0m,male,33578,missing
jb05o2Us6b6SE2vZsRGcabjWWbS3vGCF,female,20784,some college
mTt9TVaQ6qcDrpUsX6Vyc0IYv4BlJlMi,missing,47265,college
qUsxspDDfsw4f9myaKg1nTAEGimdpsXk,male,27573,graduate
vig6GfQ16N2Bgciydgfx9cKwfrMo2a9O,female,48867,some college
pK3w2ljSu5UCiWTsVPCK8fUfSVn5X9S6,,78259,graduate
UqVx6Yd7JprlAv7W2rKLtFQVnCTcLL2w,missing,58554,some college
oUwdPVwTRYLcPpw0ARjn83xyQKxe2P4j,male,31705,some college
DNd3BiFcSYJAZPkLBkfDLfsDBu7hXjA1,other,55063,some college
eNrDROxrcZEJqX40GxE6ATxfNKHGeclX,,23236,highschool
DcoTbFkFduPegUMNlstNJuhlR0FAkw93,female,39130,some college
VnNa6QmjmRMIIGeW2m6HR1XyxfW5A1zo,missing,19134,some college
6PFF6a3rTtp143lPxgdGFZZ0CCZBKH49,male,49660,some college
gpHFDEFCFYFoFMA8B7B4p3PkVBG2bR8M,missing,37341,some college
3T6lo0hNKqGF8AeLHQEHxxeYIjJqOuY5,missing,98642,highschool
q3pPbgY0JhPpTgQfSrEbBAWd7rbmYjI4,male,21710,graduate
taDo0RYKrKTYgPdfq4MH9aDLNQ6BrDB3,,61108,some college
UHGUuBAPGjUrVvviG1Cdg2KJNz81ujU2,,14564,some college
b605IU1Hs5BUJzpMeHolTGfnap4aIPt2,other,2019,some college
hQQKu1XLTkk3Z1qm4WNBWkjmc5yKmP4O,other,93550,some college
p5HSQW31lZy1xwQQRUcvizFLYv2gNSDG,male,43537,missing
Q9HTZZvhPZdCgltW9j7jQld4pwngmYcT,,57702,some college
td9JVyRGLfbXKWE7ys0aQ9IRUtJd97NP,missing,48044,missing
NZIKCwZrLpCubV1To1IkAO0xVGXouuGz,,10033,no highschool
lSVRjk6dkgEmIe9I21hvsRF98Lf2IKdM,female,53964,highschool
XK4PxSq2lZMH99aCjRkU3XhwcWeTyv59,,64130,missing
tXyi5HNz9C7xtFsspikvmbUgmRRGNkwB,female,63137,no highschool
PoxO0NKuyAvBdyfzZW09NxNtHwzofyd3,female,50452,highschool
2xn9jkC8wysx0PL8JCxHN7Ik7XRbnXlW,missing,22404,highschool
VXWmOCS9HHkbfkSwVydhL9ToLNCMZu9W,male,84074,highschool
HYCkyEJhW9QtzilmanJKsxRLSBi9UGoV,male,91723,some college
vvbKqlFN5dfmrBy0X44PQODITa8TzDvj,missing,10467,no highschool
4TGqcG9Q6LOnuunWoWpRDZ7zvrRdPBfm,,33014,highschool
DAjbimE4V5oFXI5ZD4kyBHNztDPF7CGC,,82935,highschool
KXWzv1XwpCYQzFE7fRx5r8RMkkQgHrT9,,94559,highschool
SN3TC8VFgNViFDWsEbnlLcDyhcwuQoX6,other,21853,some college
49qpS9Nzy0mP5QqDUNAEzExfVbAP8a1P,missing,27529,highschool
JQRXqEKqYgVt3yLRwyn6A8k5Glf2cOSO,missing,95628,some college
sZNhT3IqtfFMwMod3w0cGQK1HKvrIFwI,,18960,missing
lyKnimsFiZiUDGLiL0JbFVyLNDuWEQjN,,39209,some college
D8ad6YCP4S8e1UHCQjU17HMPa0udSxjF,,17603,highschool
OqJNsjy2EmuwdcT76bOhdIrSt6adV6CK,,65667,college
WjnaawWGFUCD5S7eRT2ciXHKfCh6CQTS,female,12551,college
fG2HQJ5dqrgA7cRSrGVvToukm72DX5Qk,,92277,highschool
Tb7ZmDk2KyMG2qBiHXFKty1zWlhwRH1T,,44146,no highschool
ADfwFw8C3G0bXPEEple7nyMv4gLmu2vs,missing,94080,highschool
3myCXWasasCDpepMqlfZ17VF0Gt1zPNm,missing,40121,college
3WVNf1jvl5kky7gDcuyuchNBzYM1t9Ux,missing,33603,some college
lULlNplW9an4IY67cuI3Y9CdSp2mR8n9,,60005,missing
WLXtV9xU02TWrBcV5JQ79YomKzdOBWBA,missing,60629,highschool
cVlvQjxfRb2fWJliQqCUI1Axuog1k8oZ,male,77072,highschool
8xMQRUR8VXNLPHUm00e2oK4dviOUazvC,male,61265,some college
atxTINx1wNa0Kz1uw7bW34Z47POxkGeq,male,77084,highschool
92eQYZBCqUTAtB8NUUn6jbAwCNWHUpcO,missing,92627,no highschool
G9R71t5MDo1jFoKfAefG4YHVI8XGucLB,male,1923,college
NUJzH0nNbyDRYrrTq5jioxpuv4elmJSh,male,11357,no highschool
62IvCczebBdqcWY3Xo50l32deR3kgOwH,,30314,highschool
d0czHY9SleKhWFZVHkBc11jXgenCfeaE,missing,43130,college
LInVbthYR0Q0NCTCkZ0YC1coXkbWdjR1,female,62320,highschool
L6cSlqtcCVwgkXlFNjGXQIHBKDAwYSwR,,52068,highschool
JOBn8zvdz5hCAPmSU5wBpbSAtBZ9F06v,,88030,highschool
14vQ2Cgzvk63ytUTqN8XyyChaLzUjcJ0,,8066,some college
UyBXdqUEMckLqxZRI3DXag87gMZefSQ5,female,92057,some college
Y15jm5WjSbnA0yVIRG2neXYWODMYeSBO,,63123,highschool
evNx6qZ7bVSHYvEWYsJtkh2fVmzi06KI,male,33033,highschool
LrkrvySxDPWP0dPv0sy62S8XY8vaxevX,,4776,highschool
N8lQ6CLzYLC3ZV1TIYvwSWjVTWycwKRr,,85248,some college
nWfmkEV4YCKZ7mcPyrthk5xsFNQD6yNN,missing,22305,college
FMzGaTQF7DH8jcwuCHkaDJjOlramPllD,male,63347,highschool
BgWUkLowKG2xEyapznJ6d26papyyKqEi,,6611,some college
yXMYhpio1qXmbuXfpFsTbgWpG2VFv9sO,missing,50441,missing
1zcBOliKKVXK419jHsqjZGpz654bIAn5,,71909,highschool
jGtiVf5HYLqgOasCrKGgOBMBFuA9x4ae,female,95827,some college
9iGaqBGS5kkoXjLd87hUL2eIJMVUVKfU,,60120,highschool
HsFuDndYM0mTNkV9Ct7spoFtvhyXRjhg,female,80501,some college
tdVp0pgfAIKR6OHgZWzgA5ASvuSTVply,male,86023,graduate
X3SAXegdLn475KkijByoM5BR9n74pQSC,,92886,some college
I0BSd7K17Qe32CsFChIMhJ2Ad5mDVGH4,missing,34104,some college
IwfUgBuw8kkAThQkHehougqzj5SRtYrp,missing,1832,some college
1riKUYK15hNImaEGyBpvsS76ZRQgbnDK,other,95823,college
2RJ8BBRkfXWUgOvINgxOSXP2ac2oP7fh,missing,55418,some college
TGbtpXBmCBBlZeS2P72XRQZjesW8qA9X,,55427,highschool
Y8djJGa5xO2Tk4mEUFLDW9jkITveu6qG,,51449,college
TilPXsBtUeInJte9nDlpbC1Ot52Vr9xD,female,22407,graduate
tRdx0tRHXkoW2WJ4mnzpdZfXXXIdX04T,,11783,some college
twCpzhGO216Hze2mrl4NXCjfHuwTo4Bh,male,73098,highschool
UuK4SgZkmPrFxeH0ZPCRQ63pVXUSe96N,female,44121,graduate
i5H6SjH4MKZHMb1frGybNLyQNP1XE29v,,8002,no highschool
mK2PenVNfwXeBJzi7mP3HzWchd5fxecA,missing,35758,graduate
5WAIxgqU8QRTpOrU8O3vmj4h4ZKof8jn,male,62712,highschool
4X3QJBWqjjzt1tnJuinj3TQdGHwFyiAK,male,48180,highschool
hjIy2H4nj9jJ4fRj6OOsBlq6scMJN14Z,female,11783,some college
rfOApTbQ4xF2665bHZIBhoJqQcTU6i9L,,50266,no highschool
UGrzFFoMUY8lyETY7WUVQiSf705Madpt,,48602,missing
AdBVZZqWWWBGeA0job1w4bgiZXza6Vo1,,94531,highschool
AP86HS865yv5v3StyTUtMhqAY5fkboAI,,2155,college
6V0aEecugZSGEGjp9sOtqKaVX0hdaxfx,missing,23502,graduate
IF3MFybGElafhX7jbbDfSBov8mktXBWH,other,97321,college
XQ8cWjfBil2LbS40q1iPWrRfwwjzsyVe,female,20745,some college
YnXdaRteqU5oS01NC3H96Vynlp7riJjN,male,20650,some college
WfK8spzPGQgUUjtYsrbByJpvEEqSCjRx,,34744,highschool
XGyjUrOJahC7o5nchqsVXXkvaMC9eCBL,female,7430,some college
NXWbrhgwPkB8Vmhv89AlGPamswmxk6M5,missing,32792,missing
lQ2haPSIRb6ySD072MeaIkhUrCYHIGKE,female,28428,some college
X0mwoxg874EbVxrlqwujNOOtlWsV2BZT,,22701,missing
qi7KVNmfKsK3oeS3bRCbOTnPSHK2PSHI,,67114,college
1mWAafpzdwoWMjbkQKdT8PCeVs0siUD3,,40509,missing
Bi4hHmeTLwTbUCScu9tC6ZZN7frLUhVP,,72774,missing
OJdfF98tiGUc4NOyoJyNtEkhliDhHhFj,male,91784,highschool
nYkjfTfW9a0lErJBMI6d9kQmGXxlLWFr,female,7876,missing
6ygJrP9JnrQ6ESs65xKYCGMBic6VIGst,missing,94061,no highschool
2CdJUjMmT0zRQH21W3i7YAvxUei2oQx0,female,86442,college
2pYFe0h8sfrDA4eSIhSjl2GJ13HSyiUa,,43724,some college
ItXqNb6zx3QVLdsA3JBCgdcrYjRtEnl0,,34243,some college
dPrNP1icR616AvCzDCNaP4a5WfcZPx5P,,64055,some college
aJhpOkSnAokfMm7oWeU8kMfoVPQiafKS,other,55901,some college
zIEvVu256MBOkfWom4gABb8DeQGcGZPQ,missing,5765,college
ClQreBBES2QUlVQessYJvkGxMafZSj4g,male,43119,graduate
gAQEiHAPKTN1rxDcSN7hcjFOwf5lm20l,male,78046,highschool
vMKQnF3vcfihtqeB9i7D6I59OUdHguyv,female,74604,some college
UuCAbOcwFlMyQoJOQ49A04sTgDVP5baf,,46615,no highschool
2yEziP2yqDZ0e40disaKgHZaMsGd3JUk,,33545,some college
Buqn32lcznIy9GwaDV0QQlq0IgHMrpga,male,92606,highschool
